BU_NUM,BU_BCODE,OPSGRP_BCODE,NAME15,NAME40,BU_SUBTYPE_BCODE,TRADING_SDATE,TRADING_EDATE,ESTAB_BRN_IND
103,103,MISC,PETERBOROUGH,Peterborough,SUPMKT,09MAR1982,12NOV2014,Y
105,105,MS4,GILLINGHAM,Gillingham,SUPMKT,24NOV1992,,Y
107,107,MISC,DORKING,Dorking,SUPMKT,14MAR1961,04FEB2014,Y
108,108,NE4,ST IVES,St Ives,SUPMKT,19JUN1990,,Y
114,114,MS6,BRIGHTON,Brighton,SUPMKT,22MAR1966,,Y
119,119,LSE4,BRENT CROSS,Brent Cross,SUPMKT,02MAR1976,,Y
120,120,MS4,DORCHESTER,Dorchester,SUPMKT,18MAR1986,,Y
121,121,LSE5,ESHER,Esher,SUPMKT,23APR1985,,Y
122,122,MS1+CI,HALL GREEN,Hall Green,SUPMKT,08JUN1971,,Y
124,124,LSE4,WHETSTONE,Whetstone,SUPMKT,11FEB1969,,Y
129,129,LSE5,COULSDON,Coulsdon,SUPMKT,29OCT1971,,Y
131,131,LSE3,NEW MALDEN,New Malden,SUPMKT,19SEP1989,,Y
137,137,LSE6,ALLINGTON PARK,Allington Park,SUPMKT,28MAY1970,,Y
140,140,NE3,BURY ST EDMUNDS,Bury St Edmunds,SUPMKT,06JUL1993,,Y
141,141,MISC,BLABY,Blaby,SUPMKT,20OCT1970,16JUN2019,Y
146,146,MISC,MARLOW,Marlow,SUPMKT,01AUG1972,11JAN2011,Y
148,148,NE4,KINGSTHORPE,Kingsthorpe,SUPMKT,05JUN1973,,Y
149,149,LSE3,EAST SHEEN,East Sheen,SUPMKT,20MAR1973,,Y
150,150,NM3,FOUR OAKS,Four Oaks,SUPMKT,19NOV1974,06SEP2020,Y
151,151,MS2,WESTBURY PARK,Westbury Park,SUPMKT,13NOV1973,,Y
154,154,NE5,LEIGHTON BUZZRD,Leighton Buzzard,SUPMKT,16OCT1973,,Y
155,155,MS1+CI,STOURBRIDGE,Stourbridge,SUPMKT,01JUL1975,,Y
158,158,SE3,BROMLEY,Bromley,SUPMKT,05OCT1976,03NOV2019,Y
159,159,MISC,BIRCH HILL,Birch Hill,SUPMKT,19OCT1976,24NOV2007,Y
160,160,LSE6,RAMSGATE,Ramsgate,SUPMKT,14JUN1977,,Y
163,163,MISC,HUNTINGDON,Huntingdon,SUPMKT,08NOV1977,05SEP2017,Y
164,164,MS5,MARLBOROUGH,Marlborough,SUPMKT,27SEP1977,,Y
165,165,LSE5,GREEN ST GREEN,Green Street Green,SUPMKT,28FEB1978,,Y
166,166,NE5,ST ALBANS,St Albans,SUPMKT,25OCT1977,,Y
167,167,SE5,STEVENAGE,Stevenage,SUPMKT,18JUL1978,27OCT2019,Y
171,171,MS6,HAVANT,Havant,SUPMKT,27NOV1979,,Y
174,174,LSE4,JOHN BARNES,John Barnes,SUPMKT,02FEB1981,,Y
